idx,input,output,kind,status,method
2,F:\KINYO\K7素材汇总\10月份\10.8\10月8日-K7-CM- (2)已发.mp4,..\Processed_Data\K7VideoProcessed\video_full\7559000042486005796_10月8日-K7-CM- (2)已发.mp4_full.mp4,video_full,ok,transcode
2,F:\KINYO\K7素材汇总\10月份\10.8\10月8日-K7-CM- (2)已发.mp4,..\Processed_Data\K7VideoProcessed\video_15s\7559000042486005796_10月8日-K7-CM- (2)已发.mp4_15s.mp4,clip15s,ok,
2,F:\KINYO\K7素材汇总\10月份\10.8\10月8日-K7-CM- (2)已发.mp4,..\Processed_Data\K7VideoProcessed\audio_full\7559000042486005796_10月8日-K7-CM- (2)已发.mp4.m4a,audio_full,ok,
0,F:\KINYO\K7素材汇总\9月份\9.21\9月21日-K7-CM- (4)已发.mp4,..\Processed_Data\K7VideoProcessed\video_full\7552688222016684071_9月21日-K7-CM- (4)已发.mp4_full.mp4,video_full,ok,transcode
0,F:\KINYO\K7素材汇总\9月份\9.21\9月21日-K7-CM- (4)已发.mp4,..\Processed_Data\K7VideoProcessed\video_15s\7552688222016684071_9月21日-K7-CM- (4)已发.mp4_15s.mp4,clip15s,ok,
0,F:\KINYO\K7素材汇总\9月份\9.21\9月21日-K7-CM- (4)已发.mp4,..\Processed_Data\K7VideoProcessed\audio_full\7552688222016684071_9月21日-K7-CM- (4)已发.mp4.m4a,audio_full,ok,
3,F:\KINYO\K7素材汇总\10月份\10.11\10月11日-K7-MY-  (4)混剪已发.mp4,..\Processed_Data\K7VideoProcessed\video_full\7560103525498896393_10月11日-K7-MY- (4)混剪已发.mp4_full.mp4,video_full,ok,transcode
3,F:\KINYO\K7素材汇总\10月份\10.11\10月11日-K7-MY-  (4)混剪已发.mp4,..\Processed_Data\K7VideoProcessed\video_15s\7560103525498896393_10月11日-K7-MY- (4)混剪已发.mp4_15s.mp4,clip15s,ok,
3,F:\KINYO\K7素材汇总\10月份\10.11\10月11日-K7-MY-  (4)混剪已发.mp4,..\Processed_Data\K7VideoProcessed\audio_full\7560103525498896393_10月11日-K7-MY- (4)混剪已发.mp4.m4a,audio_full,ok,
1,F:\KINYO\K7素材汇总\10月份\10.2\10月2日-K7-CM-混剪- (3).mp4,..\Processed_Data\K7VideoProcessed\video_full\7556771272036237375_10月2日-K7-CM-混剪- (3).mp4_full.mp4,video_full,ok,transcode
