素材ID,素材名称,素材创建时间,level_1_folder,level_2_folder,video_file,video_path,素材时长,净成交ROI,整体支付ROI,整体展现次数,整体点击次数,整体点击单价,整体千次展现费用,视频评论数,视频播放数,新增粉丝数,视频点赞数,平均观看时长,整体消耗,基础消耗,整体成交金额,整体成交订单数,整体成交订单成本,用户实际支付金额,智能优惠券金额,电商平台补贴金额,整体未完结预售订单预估金额,净成交金额,净成交订单数,净成交订单成本,用户实际支付净成交金额,智能优惠券未退款金额,电商平台补贴未退款金额,1小时内退款订单数,整体点击率,整体转化率,5秒播放率,2秒播放率,3秒播放率,10秒播放率,视频完播率,净成交金额结算率,净成交订单结算率,1小时内退款率
7552688222016684071,9月21日-K7-CM- (4)已发.mp4,2026-01-12 11:45:17,9月份,9.21,9月21日-K7-CM- (4)已发.mp4,F:\KINYO\K7素材汇总\9月份\9.21\9月21日-K7-CM- (4)已发.mp4,93,4.63,5.55,6229.0,360.0,2.7,155.94,0.0,7709.0,6.0,6.0,12.3,,,,,,,,,,,,,,,,,5.78,1.67,38.19,56.03,49.1,32.18,6.43,,,
7556771272036237375,10月2日-K7-CM-混剪- (3).mp4,2025-12-04 10:59:06,10月份,10.2,10月2日-K7-CM-混剪- (3).mp4,F:\KINYO\K7素材汇总\10月份\10.2\10月2日-K7-CM-混剪- (3).mp4,194,2.36,2.86,154220.0,9633.0,5.24,327.52,107.0,151898.0,93.0,170.0,16.75,50510.33,50510.33,144441.0,159.0,317.68,143041.0,1066.99,333.01,0.0,119269.0,131.0,385.58,118192.02,823.97,253.01,28.0,6.25,1.65,43.99,64.28,55.4,35.15,4.51,82.57,82.39,17.43
7559000042486005796,10月8日-K7-CM- (2)已发.mp4,2025-12-04 11:18:42,10月份,10.8,10月8日-K7-CM- (2)已发.mp4,F:\KINYO\K7素材汇总\10月份\10.8\10月8日-K7-CM- (2)已发.mp4,91,4.97,4.97,2897.0,284.0,1.27,124.87,0.0,2706.0,0.0,0.0,0.0,361.76,360.85,1798.0,2.0,180.88,1698.0,100.0,0.0,0.0,1798.0,2.0,180.88,1698.0,100.0,0.0,0.0,9.8,0.7,47.01,60.64,54.62,38.47,12.56,100.0,100.0,0.0
7560103525498896393,10月11日-K7-MY-  (4)混剪已发.mp4,2025-12-04 11:46:20,10月份,10.11,10月11日-K7-MY-  (4)混剪已发.mp4,F:\KINYO\K7素材汇总\10月份\10.11\10月11日-K7-MY-  (4)混剪已发.mp4,200,2.83,3.39,198124.5,14035.5,4.665,314.705,34.0,197388.5,102.5,158.0,17.055,83029.3,82352.26,292377.0,323.0,257.06,287894.98,3397.99,1084.03,0.0,237437.0,263.0,315.7,233810.0,2752.97,874.03,60.0,6.835,1.685,49.33,67.10499999999999,59.27,40.955,3.995,81.21,81.42,18.79
7560103549079224330,10月11日-K7-CM-混剪- (3).mp4,2025-12-04 11:46:21,10月份,10.11,10月11日-K7-CM-混剪- (3).mp4,F:\KINYO\K7素材汇总\10月份\10.11\10月11日-K7-CM-混剪- (3).mp4,175,3.77,4.38,135147.0,7147.0,2.38,126.12,52.0,124204.0,76.0,129.0,20.89,17044.16,17044.16,74616.7,83.0,205.35,73364.0,804.0,448.7,0.0,64328.8,71.0,240.06,63145.0,745.0,438.8,12.0,5.29,1.16,51.72,66.14,58.74,35.94,3.94,86.21,85.54,13.79
7560476177228988435,10月12日-K7-MY-  (11)混剪.mp4,2025-12-04 11:46:20,10月份,10.12,10月12日-K7-MY-  (11)混剪.mp4,F:\KINYO\K7素材汇总\10月份\10.12\10月12日-K7-MY-  (11)混剪.mp4,138,2.33,3.18,14980.5,911.0,4.7,287.525,2.0,16928.0,11.0,23.5,16.765,2906.0,2906.0,8990.0,10.0,290.6,8727.0,63.0,200.0,0.0,6293.0,7.0,415.14,6094.0,59.0,140.0,3.0,6.125,1.62,40.26000000000001,53.63,47.71,34.08,4.800000000000001,70.0,70.0,30.0
7564180851987496969,10月22日-K7-MY-  (4)混剪.mp4,2026-01-28 11:13:53,10月份,10.22,10月22日-K7-MY-  (4)混剪.mp4,F:\KINYO\K7素材汇总\10月份\10.22\10月22日-K7-MY-  (4)混剪.mp4,178,5.07,5.07,3836.0,202.0,5.27,277.37,0.0,4549.0,4.0,4.0,16.95,,,,,,,,,,,,,,,,,5.27,2.97,41.35,49.99,46.08,37.92,4.99,,,
7566797565342269481,10月29日-K7-MY-  (7)混剪.mp4,2026-01-12 12:05:52,10月份,10.29,10月29日-K7-MY-  (7)混剪.mp4,F:\KINYO\K7素材汇总\10月份\10.29\10月29日-K7-MY-  (7)混剪.mp4,117,2.53,2.97,45618.0,2880.0,2.84,179.29,0.0,44796.0,0.0,2.0,13.83,,,,,,,,,,,,,,,,,6.31,0.94,74.6,82.52,80.0,37.52,5.83,,,
7567908601362235446,11月1日-K7-MY-   (6)混剪.mp4,2025-12-02 18:33:44,11月份,11.1,11月1日-K7-MY-   (6)混剪.mp4,F:\KINYO\K7素材汇总\11月份\11.1\11月1日-K7-MY-   (6)混剪.mp4,167,3.375,3.84,190986.0,11743.5,2.57,158.41,11.0,190774.0,10.0,24.5,14.355,33181.32,33181.32,125062.0,138.0,240.44,122651.02,2078.97,332.01,0.0,113375.0,125.0,265.45,111077.02,1972.97,325.01,13.0,6.154999999999999,1.09,56.455,73.575,65.305,41.04,5.960000000000001,90.66,90.58,9.34
7568274604407570459,11月2日-K7-CM-混剪- (2)已发.mp4,2025-12-02 18:33:44,11月份,11.2,11月2日-K7-CM-混剪- (2)已发.mp4,F:\KINYO\K7素材汇总\11月份\11.2\11月2日-K7-CM-混剪- (2)已发.mp4,179,4.56,4.56,6183.0,314.0,3.365,154.975,0.5,6366.0,0.5,5.5,35.02,1271.07,1271.07,4495.0,5.0,254.21,4445.0,50.0,0.0,0.0,4495.0,5.0,254.21,4445.0,50.0,0.0,0.0,4.78,1.775,55.38500000000001,61.83,58.69,49.285,6.875,100.0,100.0,0.0
